Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,425.700012,429.899994,419.899994,422.149994,417.928497,655107
2022-05-19,412.700012,416.399994,402.950012,404.399994,400.355988,545936
2022-05-20,409.000000,442.549988,407.500000,438.350006,433.966522,1392194
2022-05-23,432.000000,442.299988,426.000000,427.500000,423.225006,820642
2022-05-24,427.500000,436.850006,416.350006,419.600006,415.404022,917292
2022-05-25,419.600006,425.450012,410.899994,415.049988,410.899506,999128
2022-05-26,417.950012,424.799988,405.299988,419.950012,415.750519,1238774
2022-05-27,423.100006,426.899994,418.000000,424.700012,420.453003,555322
2022-05-30,423.799988,434.649994,422.700012,433.450012,429.115509,686462
2022-05-31,431.000000,448.899994,430.149994,445.500000,441.045013,1415219
2022-06-01,441.649994,449.649994,436.350006,442.750000,438.322510,1975815
2022-06-02,440.000000,445.600006,437.049988,442.149994,437.728485,485663
2022-06-03,448.149994,448.149994,430.299988,431.350006,427.036499,587958
2022-06-06,431.149994,431.149994,416.000000,423.750000,419.512512,892657
2022-06-07,423.750000,426.600006,418.000000,420.700012,416.493011,470229
2022-06-08,424.399994,430.750000,421.000000,429.049988,424.759491,461034
2022-06-09,426.000000,443.899994,425.149994,439.750000,435.352509,437457
2022-06-10,437.000000,437.799988,429.850006,435.500000,431.144989,449978
2022-06-13,432.899994,432.899994,417.200012,419.450012,415.255524,525318
2022-06-14,411.000000,427.450012,411.000000,419.750000,415.552490,700078
2022-06-15,425.000000,438.000000,409.649994,411.450012,407.335510,3085559
2022-06-16,414.000000,422.450012,407.299988,409.399994,405.306000,1788528
2022-06-17,405.250000,437.000000,404.149994,433.049988,428.719482,4466382
2022-06-20,432.000000,435.299988,421.299988,428.299988,424.016998,1628760
2022-06-21,435.399994,453.000000,430.399994,447.600006,443.124023,2490706
2022-06-22,444.750000,445.000000,406.100006,408.600006,404.514008,3683712
2022-06-23,411.399994,416.799988,402.549988,412.899994,408.770996,2136422
2022-06-24,417.000000,418.600006,411.000000,414.950012,410.800507,802150
2022-06-27,420.000000,420.649994,412.700012,414.899994,410.751007,1448961
2022-06-28,414.899994,421.299988,412.399994,418.250000,414.067505,720905
2022-06-29,413.100006,423.000000,413.100006,420.750000,416.542511,678276
2022-06-30,418.100006,423.000000,408.500000,412.549988,408.424500,2560792
2022-07-01,413.799988,425.700012,411.850006,422.750000,418.522491,2838077
2022-07-04,425.700012,428.000000,418.200012,422.250000,418.027496,932646
2022-07-05,425.000000,426.000000,414.500000,416.100006,411.938995,950953
2022-07-06,418.450012,431.000000,412.500000,427.899994,423.621002,774676
2022-07-07,428.799988,432.850006,426.549988,429.399994,425.105988,723159
2022-07-08,431.250000,441.850006,427.149994,429.549988,425.254486,1251897
2022-07-11,426.600006,438.450012,426.549988,437.049988,432.679504,548252
2022-07-12,433.799988,435.899994,429.600006,431.200012,426.888031,328712
2022-07-13,430.000000,432.100006,424.000000,424.799988,420.552002,651533
2022-07-14,424.799988,426.450012,415.000000,417.799988,413.621979,542946
2022-07-15,419.750000,423.399994,415.000000,418.250000,414.067505,633579
2022-07-18,420.100006,425.799988,420.100006,424.049988,419.809479,807558
2022-07-19,424.000000,427.649994,420.100006,423.350006,419.116516,483150
2022-07-20,425.600006,433.200012,422.500000,424.850006,420.601501,1136880
2022-07-21,426.000000,442.000000,424.600006,437.200012,432.828003,1524991
2022-07-22,437.000000,442.500000,432.149994,441.350006,436.936523,653140
2022-07-25,440.549988,445.500000,438.000000,442.700012,438.273010,746211
2022-07-26,442.000000,482.000000,440.500000,465.799988,461.141998,4349365
2022-07-27,463.000000,475.899994,460.850006,473.000000,468.270020,1515541
2022-07-28,475.500000,477.799988,468.250000,474.000000,469.260010,876263
2022-07-29,474.500000,480.299988,470.000000,472.200012,467.478027,812380
2022-08-01,472.200012,479.000000,469.049988,472.649994,467.923492,577553
2022-08-02,472.649994,476.299988,464.100006,470.700012,465.993011,490975
2022-08-03,472.000000,474.000000,458.100006,465.950012,461.290527,575760
2022-08-04,465.950012,479.149994,463.049988,470.250000,465.547516,2142821
2022-08-05,468.600006,476.799988,468.200012,471.600006,466.884003,649320
2022-08-08,470.000000,473.750000,465.250000,469.549988,464.854492,416284
2022-08-10,469.000000,471.000000,461.100006,464.750000,460.102509,472235
2022-08-11,467.000000,479.899994,466.700012,474.600006,469.854004,1254234
2022-08-12,477.000000,486.149994,474.049988,477.200012,472.428009,1113629
2022-08-16,482.399994,500.950012,481.450012,486.299988,481.436981,2886900
2022-08-17,488.399994,494.149994,480.149994,481.450012,476.635529,1026508
2022-08-18,481.600006,488.799988,477.600006,479.549988,474.754486,687377
2022-08-19,482.000000,493.000000,479.899994,485.950012,481.090515,2385192
2022-08-22,488.200012,504.899994,482.450012,500.000000,495.000000,4019224
2022-08-23,494.899994,501.350006,484.000000,485.850006,485.850006,1892866
